,source_id,source_name,title,description,url
0,google-news,Google News,Dirt 5 - Official PS5 Gameplay Overview - IGN,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9X1lmNU9NUHZ2S3PSAQA?oc=5
1,,ComicBook.com,Pokemon Sword and Shield Officially Reveals Glastrier and Spectrier - ComicBook.com,"The Pokemon Company has officially announced the two surprise new Legendary Pokemon that appear in the latest Pokemon Sword and Shield DLC. Earlier today, the Pokemon Company released a new promotional video that showed off Glastrier and Spectrier, the two ne…",https://comicbook.com/gaming/news/pokemon-sword-shield-glastrier-spectrier-revealed/
2,,9to5Mac,"Apple November event preview: Apple Silicon MacBook Air and Pro, Big Sur release, more - 9to5Mac","After previous events focused on iPad, Apple Watch, and iPhone, Apple’s November event will likely focus on the Apple Silicon transition in the Mac lineup.",https://9to5mac.com/2020/11/06/apple-november-event-apple-silicon/
3,google-news,Google News,Seven Knights Time Wanderer - Launch Trailer - Nintendo Switch - Nintendo,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9ZkN1b2VYdEFpT3PSAQA?oc=5
4,google-news,Google News,Assassin's Creed Valhalla - The First 16 Minutes on Xbox Series X (4K 60FPS) - IGN,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9TW9HeVVOXzg4RmfSAQA?oc=5
5,google-news,Google News,DC Universe Online - Official Long Live the Legion Trailer - IGN,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9V1dxb0NSSnI0ODDSAQA?oc=5
6,engadget,Engadget,'Bloodstained: Ritual of the Night' will hit iOS and Android next month - Engadget,The mobile version of the action RPG arrives next month.,https://www.engadget.com/bloodstained-ritual-of-the-night-ios-android-release-date-price-173652356.html
7,google-news,Google News,Apex Legends Season 7 - Official Battle Pass Trailer - IGN,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9X0VWUThFODBPcXPSAQA?oc=5
8,the-verge,The Verge,Nadeshot on getting back into Call of Duty with the Los Angeles Thieves - The Verge,"Twitch and YouTube star Matthew “Nadeshot” Haag explains why 100 Thieves is getting back into Call of Duty esports, with a new CDL team called the Los Angeles Thieves, which will begin play in 2021.",https://www.theverge.com/2020/11/6/21552513/100-thieves-call-of-duty-league-cdl-la-nadeshot-interview
9,,9to5google.com,Nokia 8.3 5G review: Too late to live? [Video] - 9to5Google,"Designed for James Bond but maybe a little too late to really find a market, is the Nokia 8.3 5G the right smartphone for you?",https://9to5google.com/2020/11/06/nokia-8-3-5g-review-too-late-to-live-video/
10,,9to5google.com,"Google Pixel 4a proves resilient in bend, durability test [Video] - 9to5Google","While the Pixel 5 is currently Google's en vogue phone, its design was very much introduced with the Pixel 4a in August. A Pixel 4a durability test...",https://9to5google.com/2020/11/06/pixel-4a-durability-test/
11,,The Economist,PlayStation 5 v Xbox Series X - The Economist,New consoles and cloud gaming will shake up an industry turbocharged by the pandemic,https://www.economist.com/business/2020/11/07/playstation-5-v-xbox-series-x
12,,Android Police,Delay Netflix's new price hike by bundling a subscription with the new Chromecast - Android Police,"It's been a little while since Google unveiled the new Chromecast with Google TV, and we still like it. For less than $50, the device offers Chromecast",https://www.androidpolice.com/2020/11/06/get-the-new-chromecast-for-12-when-you-bundle-it-with-6-months-of-netflix/
13,,CNET,iPhone 12 Pro and Pro Max vs. iPhone 11 Pro and Pro Max: Apple's premium phones compared - CNET,"We compare cameras, performance, battery life and more between Apple's newest Pro phones and last year's models.",https://www.cnet.com/news/iphone-12-vs-11-pro-and-pro-max-compared-apple-premium-phones/
14,google-news,Google News,From Outrageous To Ridiculous: The Most Expensive TVs - Digital Trends,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9TXZDN29fWkZXNVXSAQA?oc=5
15,,Push Square,"Spider-Man: Miles Morales Takes About 12 Hours to Beat, Astro's Playroom Around 5 Hours - Push Square",Plenty to play,https://www.pushsquare.com/news/2020/11/spider-man_miles_morales_takes_about_12_hours_to_beat_astros_playroom_around_5_hours
16,,MacRumors,Belkin's MagSafe Car Vent Mount for iPhone 12 Models Now Available to Order From Apple - MacRumors,"Belkin's new Car Vent Mount PRO with MagSafe for iPhone 12 models is now available to order through Apple's online store, with pricing set at...",https://www.macrumors.com/2020/11/06/belkin-magsafe-car-vent-mount-available-to-order/
17,engadget,Engadget,How virtual band K/DA launched an EP in a pandemic - Engadget,"Riot Games explains how the tracks, AR performance and social media campaigns were put together.",https://www.engadget.com/kda-all-out-ep-release-riot-games-seraphine-ar-social-media-interview-160055260.html
18,usa-today,USA Today,Video games break out to record-setting levels as a perfect stay-at-home pastime amid coronavirus pandemic - USA TODAY,"With new Xbox and PlayStation consoles coming, video game playing is at record highs. The coronavirus pandemic has boosted time spent playing, too.",https://www.usatoday.com/story/tech/gaming/2020/11/05/playstation-xbox-new-models-coming-soon-video-games-vital-escape/6120794002/
19,engadget,Engadget,The Morning After: Xbox Series X and Series S reviews are in - Engadget,"Xbox Series X review, Tesla tequila and a billion dollars worth of stolen Bitcoin.",https://www.engadget.com/xbox-series-review-tma-121501125.html
